Date,Open,High,Low,Close,Volume,Adj Close
4/7/2008,44.4,44.4,38.35,39.45,1111500,38.02
4/4/2008,38.3,40.2,38,38.9,2294800,37.49
4/3/2008,38.5,38.9,38.15,38.3,424500,36.91
4/2/2008,39.25,40.25,38.4,38.5,753500,37.1
4/1/2008,38.25,39.8,37.2,38.75,1022700,37.34
3/31/2008,40.6,40.6,37.55,37.7,1357300,36.33
3/28/2008,37,39.1,37,38.6,1877000,37.2
3/27/2008,36.4,37.25,36.1,36.75,1985200,35.42
3/26/2008,37.65,37.75,36.1,36.5,1501400,35.17
3/25/2008,35.55,37.5,35.1,36.95,1499000,35.61
3/24/2008,36.85,37.5,34.25,35.05,1085300,33.78
3/19/2008,40.8,40.8,36.2,36.6,956900,35.27
3/18/2008,37.4,38.85,37.1,38.35,1147000,36.96
3/17/2008,39.5,39.5,37.1,37.15,1549300,35.8
3/14/2008,39.3,40.8,38.75,40,1914100,38.55
3/13/2008,40.3,40.5,38.5,39,1043000,37.58
3/12/2008,46.7,46.7,41,41,1456600,39.51
3/11/2008,40.6,43.2,40.15,42.4,1483100,40.86
3/10/2008,40.4,41.4,38,41.2,1767200,39.7
3/7/2008,42.5,43,40,40.75,2156400,39.27
3/5/2008,44.5,44.7,43.1,43.65,1052900,42.06
3/4/2008,46,46.5,43.1,44.1,1720600,42.5
3/3/2008,50,50,45.5,45.6,1476700,43.94
2/29/2008,51.9,52.9,45.4,48.75,5527500,46.98
2/28/2008,50,51.5,49.5,51.5,2232200,49.63
2/27/2008,50.95,52.5,49.5,49.7,1516900,47.89
2/26/2008,49.5,50.7,48.6,50.4,1931900,48.57
2/25/2008,48.2,49,47.2,48.35,1065100,46.59
2/22/2008,48.25,49.4,47.85,48.1,1226100,46.35
2/21/2008,49.05,49.4,48,49.1,1455200,47.32
2/20/2008,48.1,49.6,47.55,47.7,1500600,45.97
2/19/2008,51.9,51.95,49.3,50.1,1660000,48.28
2/18/2008,51.5,51.8,50.35,51,2307400,49.15
2/15/2008,45,51,45,50.6,3849300,48.76
2/14/2008,51,51,45.5,48.8,2791700,47.03
2/13/2008,45.05,46.7,43.9,44.3,1510100,42.69
2/12/2008,46.8,47.3,44.3,44.5,1741700,42.88
2/11/2008,50,50,45.25,45.4,2021400,43.75
2/8/2008,53,53.85,49.05,50,3106000,48.18
2/7/2008,54,56.9,51.1,52.1,7579000,50.21
2/6/2008,49.7,53.45,47.6,53,5008200,51.08
2/5/2008,49.4,51.95,48.6,51.45,4033700,49.58
2/4/2008,48.65,51.1,48,49.7,4214100,47.89
2/1/2008,47,48,46.3,47.15,1703100,45.44
1/31/2008,49.85,49.85,44.75,47.2,5239000,45.49
1/30/2008,50.7,51,47.5,48,2451200,46.26
1/29/2008,53.5,54,48,50.2,3049000,48.38
1/28/2008,52,52,48.2,50.6,3653300,48.76
1/25/2008,47.95,54.45,47.15,53.1,4187400,51.17
1/24/2008,49.9,52,44,46.1,4079200,44.43
1/23/2008,48.8,52.5,44.25,48.3,8124000,46.55
1/22/2008,50,52,34,42,4692400,40.47
1/21/2008,71,71,50,53.7,3333900,51.75
1/18/2008,76,76.3,69.6,70.3,2239500,67.75
1/17/2008,77.8,79,76,76.5,2478700,73.72
1/16/2008,76,77.95,73,76.75,3661300,73.96
1/15/2008,79.9,80.1,76.65,76.8,2578300,74.01
1/14/2008,75,79.9,74.25,79.8,4184000,76.9
1/11/2008,79.1,79.1,72,74.45,4267900,71.75
1/10/2008,82.5,83.25,74.55,75.85,3374300,73.1
